file,rate,method,rmse,nrmse
0,10,linear interpolation,14625661.091352709,0.14181431498140934
0,10,knn imputer (k=5),13148738.586709505,0.12749368003927752
0,10,"kalman arima (1,1,1)",15092361.733107109,0.14633956901255296
0,10,ewma (alpha=0.2),13025517.259192059,0.1262988931476738
0,10,kalman structural (level),13987229.349761246,0.13562391035418112
0,10,"hankel+knn+svd (L=72, k=5, λ=0.2)",14321654.429717116,0.13886658522065845
0,20,linear interpolation,14198420.574374527,0.11547254052091573
0,20,knn imputer (k=5),13020895.602829492,0.10589599647653605
0,20,"kalman arima (1,1,1)",14777159.84480554,0.12017929600162766
0,20,ewma (alpha=0.2),13027626.669445325,0.10595073871765183
0,20,kalman structural (level),13864180.516877495,0.11275424179318984
0,20,"hankel+knn+svd (L=72, k=5, λ=0.2)",14060125.121736884,0.1143478149097178
0,30,linear interpolation,14613467.58341673,0.11765042362702949
0,30,knn imputer (k=5),13479906.762511432,0.10852432744039599
0,30,"kalman arima (1,1,1)",15339885.232599339,0.123498682684549
0,30,ewma (alpha=0.2),13439135.116123259,0.10819608218018249
0,30,kalman structural (level),14297923.874170428,0.11511003744874831
0,30,"hankel+knn+svd (L=72, k=5, λ=0.2)",14432404.706187261,0.11619271866497452
0,40,linear interpolation,14315157.573241677,0.11524878288920039
0,40,knn imputer (k=5),13446366.626923861,0.10825430178509815
0,40,"kalman arima (1,1,1)",15038669.346428435,0.12107364725685811
0,40,ewma (alpha=0.2),13163815.196529495,0.10597953056515556
0,40,kalman structural (level),13975701.596794657,0.11251588330847123
0,40,"hankel+knn+svd (L=72, k=5, λ=0.2)",14019442.52859651,0.11286803375647089
1,10,linear interpolation,16949824.51210831,0.16435002405880464
1,10,knn imputer (k=5),15477086.679052655,0.15006996480968962
1,10,"kalman arima (1,1,1)",17033880.391934764,0.1651650523124537
1,10,ewma (alpha=0.2),16695914.98731916,0.1618880495128118
1,10,kalman structural (level),16962587.802150153,0.16447378032683843
1,10,"hankel+knn+svd (L=72, k=5, λ=0.2)",16546672.473605223,0.1604409542522113
1,20,linear interpolation,16453816.64745438,0.13381516624292497
1,20,knn imputer (k=5),15335792.176669238,0.12472252630245752
1,20,"kalman arima (1,1,1)",16704106.385802047,0.13585071602833437
1,20,ewma (alpha=0.2),16218374.365533276,0.13190036745970402
1,20,kalman structural (level),16564504.521458281,0.13471536566645503
1,20,"hankel+knn+svd (L=72, k=5, λ=0.2)",16166336.560955852,0.13147715577455849
1,30,linear interpolation,16683411.197697133,0.13431517083463337
1,30,knn imputer (k=5),15798527.468919521,0.12719112960642473
1,30,"kalman arima (1,1,1)",16458898.62677475,0.1325076601306998
1,30,ewma (alpha=0.2),16406254.900686556,0.13208383487223688
1,30,kalman structural (level),16928531.654006448,0.13628859195182033
1,30,"hankel+knn+svd (L=72, k=5, λ=0.2)",16315690.455250151,0.13135471665916942
1,40,linear interpolation,16384958.057965178,0.13191237778624507
1,40,knn imputer (k=5),15822689.697961168,0.12738565540711483
1,40,"kalman arima (1,1,1)",15971323.352909798,0.1285822784789574
1,40,ewma (alpha=0.2),16018667.020208027,0.12896343390848836
1,40,kalman structural (level),16609645.173918867,0.13372129372112454
1,40,"hankel+knn+svd (L=72, k=5, λ=0.2)",16051186.496838514,0.12922524242038785
2,10,linear interpolation,7855633.244401439,0.07617031738542357
2,10,knn imputer (k=5),12080478.638381062,0.11713554635574484
2,10,"kalman arima (1,1,1)",8794201.482556805,0.08527092561953663
2,10,ewma (alpha=0.2),9412864.316155288,0.0912696456365825
2,10,kalman structural (level),9347848.385071956,0.09063923380959762
2,10,"hankel+knn+svd (L=72, k=5, λ=0.2)",8211658.170233058,0.07962243012465349
2,20,linear interpolation,8157344.825277162,0.06634183893523624
2,20,knn imputer (k=5),11982253.887033645,0.09744895851300307
2,20,"kalman arima (1,1,1)",8616146.732462214,0.07007317099016329
2,20,ewma (alpha=0.2),9290621.833218804,0.07555852430777305
2,20,kalman structural (level),9001073.195892857,0.0732036907837725
2,20,"hankel+knn+svd (L=72, k=5, λ=0.2)",8282658.78498948,0.06736098900301443
2,30,linear interpolation,8009221.178748431,0.06448081259451603
2,30,knn imputer (k=5),12360685.160828797,0.09951367375270379
2,30,"kalman arima (1,1,1)",8856774.1671115,0.07130431068339028
2,30,ewma (alpha=0.2),9483147.487883847,0.07634713067918392
2,30,kalman structural (level),9202946.87432353,0.07409128546669416
2,30,"hankel+knn+svd (L=72, k=5, λ=0.2)",8396095.919901816,0.06759547220062789
2,40,linear interpolation,8100114.8777666865,0.06521258156950323
2,40,knn imputer (k=5),12229702.409193803,0.09845915495832958
2,40,"kalman arima (1,1,1)",8829813.47605837,0.07108725496368706
2,40,ewma (alpha=0.2),9376096.637778867,0.07548528335974436
2,40,kalman structural (level),9438225.985582713,0.07598547566845337
2,40,"hankel+knn+svd (L=72, k=5, λ=0.2)",8278282.199788749,0.06664697493252517
